,PSN1-parental-1,PSN1-parental-2,PSN1-parental-3,PSN1-maintain-1,PSN1-maintain-2,PSN1-maintain-3,PSN1-withdraw-1,PSN1-withdraw-2,PSN1-withdraw-3
HS2ST1,6.78772473340748,6.78062427797555,6.72804670907035,6.17444293852112,5.48047682387418,6.24953357252241,6.64938404404272,6.81465322269116,6.8006807089727
HS3ST1,0,0.0121605622423971,0,0.679820287789525,0,1.14407351565745,1.49729447947565,0.612848535849171,1.14193778841222
HS3ST2,0,0,0,0,0,0,0,0,0
HS3ST3A1,0,0,0,0,0,0,0,0,0
HS3ST3B1,0,0,0,0,0,0,0,0,0
HS3ST4,0,0,0,0,0,0,0,0,0
HS3ST5,0,0,0,0,0,0,0,0,0
HS3ST6,0,0,0,0,0,0,0,0,0
HS6ST1,5.95534924960238,5.80773553598618,5.89624306527518,6.06627367310518,5.74239279187227,6.06554806379119,5.84406967592727,5.86594836143752,5.64087288301942
HS6ST2,0,0,0,0,0,0,0.0521431094834028,0,0
HS6ST3,6.21386826944095,6.11626909171355,6.16203149923668,0.287105158969863,0,0.000215096203579469,1.8938630267282,1.97413802568264,1.76176403116779
HSBP1,5.58603047300285,5.73956793083155,5.67445896935986,6.11873239478525,7.29465898152606,6.13293728403231,6.16458535439258,6.1580590818595,6.15411054714918
HSBP1L1,3.79544189893304,3.90106643084855,4.012512547404,3.67806763212431,5.0079629138001,3.63079829648874,3.18193923860612,3.31678859169022,3.2673435419927
HSCB,1.55196626502394,1.15654636893553,1.5628707287416,2.21907437705725,3.83479956005858,2.11940464023179,2.06943518944062,2.2414803590809,2.26674114223042
HSD11B1,0,0,0,0,0,0,0,0,0
HSD11B1L,0.882601764214133,0.373736072955577,0,0.736011933098519,2.15461769076343,0.439357001628833,0.535089996081417,0.308486712612005,0
HSD11B2,2.12458581859505,1.69357333921003,2.08494771490418,2.9820037649069,3.55439915244807,2.87465772222963,3.27703322951425,3.46665229857637,2.92140558005048
HSD17B1,1.51809985675818,1.90197217429999,1.73694665280629,1.3895349753748,1.87049679759591,1.47477490433773,0.785635591996261,0.920567971041496,0.503047197026155
HSD17B10,6.66832636861138,6.50985053708635,6.59188203643022,6.93426645194582,8.40910870125333,6.75542238223502,7.06735838814992,6.81558487696601,6.78733609949664
HSD17B11,4.68873913428118,4.85869166866649,4.72491535876672,4.90586811652665,4.8773214661133,4.50053907168325,4.97604351315453,4.68616499081221,4.75062087929161
HSD17B12,6.92004243670224,6.81138964188993,6.85435176516354,6.72720089045164,5.96704842373705,6.53066050286114,6.79305995353595,6.75665356590994,6.90701564004354
HSD17B13,0,0,0,0,0,0,0,0,0
HSD17B14,0,0,0,0,0,0,0,0,0
HSD17B2,0,0,0,0,0,0,0,0,0
HSD17B3,0,0,0,0,0,0,0,0,0
HSD17B4,6.992741585906,7.00932386920961,7.03192099652828,7.01597044713137,5.28327158519801,6.84120418163442,6.84743852454595,6.78831959905978,6.8320130376961
HSD17B6,0,0,0,0,0,0,0,0,0
HSD17B7,3.5494148435385,3.69252678749305,3.7696422831747,3.30351868220806,3.95072559851284,3.17670184322598,3.6994887083609,3.62808504202269,3.77972967898675
HSD17B8,0,0,0,0,0,0,0,0,0
HSD3B1,0,0,0,0,0,0,0,0,0
HSD3B2,0,0,0,0,0,0,0,0,0
HSD3B7,0.451533042048136,0.595630952723712,0.524964990149747,0.360436841383918,2.01954023118266,0.279363770943974,0,0,0
HSDL1,4.42197162574054,4.51793423477735,4.55859731382816,4.95700324022785,5.00200295413829,4.90184332450813,5.02252703844558,5.06088132069537,4.97001853359004
HSDL2,6.41818408625681,6.3914376330641,6.49096864365171,6.31019181163102,5.90452543701068,6.28551775808223,6.71784001200964,6.71930729027404,6.74442203148231
HSF1,6.7948137160266,6.61294061552365,6.74750843203327,6.72546706703344,7.01730799658258,6.71102983483969,6.9138838912528,6.77688493460577,6.68477335279569
HSF2,4.13409357425083,4.11944751830267,4.14199550502966,4.25059966328428,2.90757129146319,3.9359639828561,4.46787726204443,4.46650741861662,4.64075665573488
HSF2BP,0.0389227884666532,0.846691918330903,0,1.03373384282842,0.950160642622751,1.39893174215649,0,0.221185521010302,0
HSF4,3.18948065163656,3.59301604066491,3.33304028112402,3.32199396902173,5.46322800682332,4.04572610889266,3.21433869898186,3.49484358242121,3.21922883757896
HSF5,0,0,0,0,0,0,0,0,0
HSFX1,0,0,0,0,0,0,0,0,0
HSFX2,0,0,0,0,0,0,0,0,0
HSFY1,0,0,0,0,0,0,0,0,0
HSFY2,0,0,0,0,0,0,0,0,0
HSH2D,0,0,0,0,0,0,0,0,0
HSP90AA1,11.3254975320826,11.2987287154456,11.3091909101147,12.2390948373628,11.6443099382564,12.0062740748721,12.2844960479806,12.2318892126287,12.4261197313627
HSP90AB1,11.3719343664428,11.3427127221161,11.3290438500655,11.0261884160493,10.467220000694,10.8478606021113,11.5800509324293,11.4856983162619,11.6019422882466
HSP90B1,10.6756340056188,10.6735258180248,10.6821538933063,10.2819621788981,10.7824388303055,10.1042334382324,10.0900312190071,10.115243301799,10.2039993948224
HSPA12A,2.98154196228786,2.99530647293724,2.95014670696633,3.13612234325292,1.76182884924003,2.84638335102237,3.06836366531909,3.29557686817633,3.35901107999841
HSPA12B,0,0,0,0.209845504558691,0,0.000215096203579469,0.313731401430326,0.468679091817803,0.581265058705465
HSPA13,6.42619525464083,6.30759871009236,6.36532604157239,6.53470158071652,4.60588235139919,6.32191025978141,6.30784430579467,6.37708323742018,6.54171725264662
HSPA14,5.38463203200216,5.4025551658661,5.4148406307266,5.05413767576401,4.94722548720768,5.09145726045192,5.66420833533899,5.77499956367461,5.63400778740066
HSPA1A,4.78443838562179,4.54036858476189,4.74950812002464,5.65542083047804,6.68855517066325,5.60538015457545,6.08797090978333,6.11632664008344,6.18104948152574
HSPA1B,4.54898916759154,4.46731519511003,4.51144451516183,5.3924511815504,6.29168769306708,5.36496742173178,5.96483445751761,5.842372329942,5.84886039101174
HSPA1L,0.985322415991268,0,0.86217510018573,0.0416832583976825,0.184173772204166,0.361577133982089,0.785635591996261,0.390805169020394,0.332610611230357
HSPA2,1.95775646803278,2.55864270574021,2.7534319339449,4.12470829547119,3.41781555453514,4.13024089124343,2.64578608204047,2.40886287000135,2.8282451429938
HSPA4,8.34844028673228,8.34913282957134,8.33924532992441,8.63657555803221,8.75043420679571,8.50059748437544,8.83136690138858,8.85189131802275,8.91297190199599
HSPA4L,3.85090992572165,3.82269539552742,3.79349047903042,5.19861236432249,2.85563740520399,5.16198239880036,5.55459784234804,5.60651804099201,5.65902168251149
HSPA5,9.51369010756084,9.47252338451085,9.44764459039379,10.0478634879709,10.0946134961274,9.92117843063117,9.85370460675837,9.83406815703865,9.96211219976083
HSPA6,0,0.111397937177248,0.0840921388558583,0,0,0,0,0.128259297660788,0
HSPA8,10.9235068676917,10.9272369478871,10.8913789607164,11.4959918138626,11.539107144815,11.2569519054709,11.5999854858919,11.4951421402417,11.6410586192255
HSPA9,9.59525612958172,9.57794782328666,9.52119899458613,9.55446036990802,8.9001440585676,9.43030024752332,9.97044133433602,9.88688022197908,10.0553076156849
HSPB1,8.79915959044869,8.64353853136014,8.63570171322914,7.98544454405018,10.5536680395935,7.84520467245499,8.36299351018988,7.96370198394728,8.07231969178324
HSPB11,5.16423571977564,5.17199338185616,5.03939232333022,4.97754318736448,6.11520230688708,4.84224150400708,4.73680410825687,4.3935131077528,4.60375641021581
HSPB2,0,0,0,0,0,0,0,0,0
HSPB2-C11orf52,0,0,0,0,0,0,0,0,0
HSPB3,0,0,0,0,0,0,0,0,0
HSPB6,0,0,0,0,0,0,0,0,0
HSPB7,0,0,0,0,0,0,0,0,0
HSPB8,0.882601764214133,0.29147873295858,0.364401415712366,3.55069569064072,2.93285358822794,3.09494281161055,2.26770541005093,2.14989430105082,2.46544174843411
HSPB9,0,0,0,0,0,0,0,0,0
HSPBAP1,2.63170221509698,2.74015892781971,2.58145654460747,2.84818747826432,3.26693601887644,2.75807520216168,3.44116281983246,3.62808504202269,3.41347979707177
HSPBP1,6.18178036396999,6.03959705116665,6.060857961925,6.30439634798005,8.09805654976453,6.08231397676258,6.6503711159254,6.4218203754513,6.26934792696186
HSPC047,0,0,0,0,0,0,0,0,0
HSPD1,10.7369567884545,10.7449295660341,10.7389088974382,10.9129694619551,10.2785780523611,10.7087743129019,11.3400966627286,11.3694924115856,11.4935659816547
HSPE1,4.30271277621817,4.30384093880109,4.26649971162994,4.88427407467634,7.00692954315608,4.65115668418665,5.15361492090857,5.06402081960978,4.82081895686924
HSPE1-MOB4,0,0,0,0,0,0,0,0,0
HSPG2,7.19784564490798,7.09669004023997,7.1612764080792,7.13307372726943,3.16393811406602,7.50993735779363,6.44385810525157,6.98250255847889,6.39648397711197
HSPH1,7.189128839216,7.18049535361565,7.16585158150542,8.24375192057045,7.16863655102698,8.11669399169789,8.28092250730847,8.28318805785588,8.33472273814186
